event_id,ann_date,stock_id,stock_name,industry,CAR_pre_30,CAR_pre_5,CAR_post_5,CAR_post_30,market_cap,avg_turnover_60d,turnover_ratio_60d,dividend_yield,momentum_pre,volume_anomaly_pre_5,log_market_cap,log_avg_turnover
00919_20250603,2025-06-03,6670,復盛應用,運動休閒,-0.002029,-0.068657,-0.162422,-0.287187,46178347852.500000,312128009.916667,0.006786,5.750000,-0.068759,1.329185,24.555777,19.558924
00919_20250603,2025-06-03,6757,台灣虎航,航運業,-0.021175,0.026470,-0.134082,-0.159766,38080000000.000000,854685207.816667,0.022735,6.360000,0.020525,0.663518,24.362955,20.566244
00919_20250603,2025-06-03,8070,長華*,電子工業,0.060546,-0.052443,-0.152485,-0.158240,33589769912.000000,186332058.116667,0.006000,5.820000,-0.109670,1.078539,24.237487,19.043041
00919_20251216,2025-12-16,1215,卜蜂,食品工業,0.051438,0.017197,-0.068629,-0.094654,42154984014.000000,193206601.300000,0.004725,3.150000,0.150000,0.986717,24.464619,19.079271
00919_20251216,2025-12-16,2027,大成鋼,鋼鐵工業,0.034565,-0.002816,-0.081723,-0.084114,91284773062.500000,540518908.716667,0.005860,2.930000,-0.078849,0.295999,25.237250,20.108040
00919_20251216,2025-12-16,2211,長榮鋼,鋼鐵工業,0.046185,-0.053953,-0.110323,-0.222932,46922789587.500000,162398346.850000,0.003553,4.440000,0.300475,0.851136,24.571769,18.905563
00919_20251216,2025-12-16,2357,華碩,電腦及週邊設備業,-0.132736,0.000369,-0.082335,-0.315483,433772003520.000000,2092019727.816667,0.004371,5.820000,0.016176,1.070439,26.795785,21.461396
00919_20251216,2025-12-16,2887,台新新光金,金融保險,0.084856,0.076462,0.063531,-0.024599,481162454377.200012,1342226914.450000,0.002874,4.650000,0.134731,0.571072,26.899471,21.017596
00919_20251216,2025-12-16,3036,文曄,電子通路業,0.037359,-0.012637,-0.028423,-0.080519,165999967348.000000,1096384688.000000,0.006872,4.050000,0.065455,3.074268,25.835253,20.815284
00919_20251216,2025-12-16,3702,大聯大,電子通路業,0.045030,-0.053743,-0.095929,-0.095509,105948486162.300003,710966936.000000,0.006640,5.070000,-0.115044,1.128252,25.386219,20.382136
00919_20251216,2025-12-16,8422,可寧衛*,綠能環保,0.059849,0.094788,0.032960,0.305307,2638423659.200000,366879504.000000,0.076699,4.220000,0.244845,1.850864,21.693447,19.720544
